id,c_date,campaign_name,category,campaign_id,impressions,mark_spent,clicks,leads,orders,revenue,ROMI%,CTR %,CR1(LC)%,CR2(OL)%,AVERAGE ORDER VALUE,COST PER CLICK,COST PER LEAD,GROSS PROFIT,CAC
16,2/2/2021,youtube_blogger,influencer,10934,449200,"?42,301.10",4492,85,17,"?149,141.00",2.526%,0.0100%,0.01892%,0.2000%,"?8,773.00",?9.42,?497.66,"?106,839.90","?2,488.30"
17,2/2/2021,instagram_tier1,social,9034945,540200,"?29,081.10",2701,54,9,"?45,585.00",0.568%,0.0050%,0.01999%,0.1667%,"?5,065.00",?10.77,?538.54,"?16,503.90","?3,231.23"
18,2/2/2021,instagram_tier2,social,983498,1020800,"?1,421.34",5104,14,0,?0.00,-1.000%,0.0050%,0.00274%,0.0000%,?0.00,?0.28,?101.52,"-?1,421.34",?0.00
19,2/2/2021,facebook_retargeting,social,4387490,10033,?169.75,301,0,0,?0.00,-1.000%,0.0300%,0.00000%,#DIV/0!,?0.00,?0.56,?0.00,-?169.75,?0.00
20,2/2/2021,facebook_lal,social,544756,107553,"?8,829.07",1196,7,1,"?1,129.00",-0.872%,0.0111%,0.00585%,0.1429%,"?1,129.00",?7.38,"?1,261.30","-?7,700.07","?8,829.07"
21,2/2/2021,instagram_blogger,influencer,374754,299600,"?13,919.10",2996,19,3,"?14,466.00",0.039%,0.0100%,0.00634%,0.1579%,"?4,822.00",?4.65,?732.58,?546.90,"?4,639.70"
22,2/2/2021,banner_partner,media,39889,42000000,"?46,159.80",4200,92,13,"?51,753.00",0.121%,0.0001%,0.02190%,0.1413%,"?3,981.00",?10.99,?501.74,"?5,593.20","?3,550.75"
23,2/3/2021,facebook_tier1,social,349043,2313889,"?65,284.40",7197,115,13,"?72,527.00",0.111%,0.0031%,0.01598%,0.1130%,"?5,579.00",?9.07,?567.69,"?7,242.60","?5,021.88"
24,2/3/2021,facebOOK_tier2,social,348934,1105666,"?78,958.30",9898,226,12,"?59,772.00",-0.243%,0.0090%,0.02283%,0.0531%,"?4,981.00",?7.98,?349.37,"-?19,186.30","?6,579.86"
25,2/3/2021,google_hot,search,89459845,134900,"?77,345.50",2698,84,16,"?115,856.00",0.498%,0.0200%,0.03113%,0.1905%,"?7,241.00",?28.67,?920.78,"?38,510.50","?4,834.09"
26,2/3/2021,google_wide,search,127823,4371854,"?49,498.90",7207,144,13,"?38,753.00",-0.217%,0.0016%,0.01998%,0.0903%,"?2,981.00",?6.87,?343.74,"-?10,745.90","?3,807.61"
27,2/3/2021,youtube_blogger,influencer,10934,1035261,"?189,341.00",13503,455,91,"?772,499.00",3.080%,0.0130%,0.03370%,0.2000%,"?8,489.00",?14.02,?416.13,"?583,158.00","?2,080.67"
28,2/3/2021,instagram_tier1,social,9034945,1618600,"?62,509.80",8093,166,15,"?84,600.00",0.353%,0.0050%,0.02051%,0.0904%,"?5,640.00",?7.72,?376.57,"?22,090.20","?4,167.32"
29,2/3/2021,instagram_tier2,social,983498,3059600,"?94,399.90",15298,592,36,"?104,184.00",0.104%,0.0050%,0.03870%,0.0608%,"?2,894.00",?6.17,?159.46,"?9,784.10","?2,622.22"
30,2/3/2021,facebook_retargeting,social,4387490,29867,"?5,039.51",896,18,4,"?23,560.00",3.675%,0.0300%,0.02009%,0.2222%,"?5,890.00",?5.62,?279.97,"?18,520.49","?1,259.88"
31,2/3/2021,facebook_lal,social,544756,295009,"?76,716.40",3595,72,9,"?5,607.00",-0.927%,0.0122%,0.02003%,0.1250%,?623.00,?21.34,"?1,065.51","-?71,109.40","?8,524.04"
32,2/3/2021,instagram_blogger,influencer,374754,667352,"?194,336.00",8996,342,51,"?254,031.00",0.307%,0.0135%,0.03802%,0.1491%,"?4,981.00",?21.60,?568.23,"?59,695.00","?3,810.51"
33,2/3/2021,banner_partner,media,39889,125910000,"?29,378.30",12591,68,13,"?51,753.00",0.762%,0.0001%,0.00540%,0.1912%,"?3,981.00",?2.33,?432.03,"?22,374.70","?2,259.87"
34,2/4/2021,facebook_tier1,social,349043,2475754,"?173,914.00",9601,192,31,"?154,411.00",-0.112%,0.0039%,0.02000%,0.1615%,"?4,981.00",?18.11,?905.80,"-?19,503.00","?5,610.13"
35,2/4/2021,facebOOK_tier2,social,348934,4597702,"?115,389.00",13206,143,17,"?82,909.00",-0.281%,0.0029%,0.01083%,0.1189%,"?4,877.00",?8.74,?806.92,"-?32,480.00","?6,787.59"
36,2/4/2021,google_hot,search,89459845,196484,"?41,269.60",3599,55,9,"?68,589.00",0.662%,0.0183%,0.01528%,0.1636%,"?7,621.00",?11.47,?750.36,"?27,319.40","?4,585.51"
37,2/4/2021,google_wide,search,127823,1531679,"?60,108.80",9591,234,17,"?58,990.00",-0.019%,0.0063%,0.02440%,0.0726%,"?3,470.00",?6.27,?256.88,"-?1,118.80","?3,535.81"
38,2/4/2021,youtube_blogger,influencer,10934,2120555,"?185,263.00",17993,445,89,"?624,958.00",2.373%,0.0085%,0.02473%,0.2000%,"?7,022.00",?10.30,?416.32,"?439,695.00","?2,081.61"
39,2/4/2021,instagram_tier1,social,9034945,1322751,"?104,028.00",10794,238,27,"?179,037.00",0.721%,0.0082%,0.02205%,0.1134%,"?6,631.00",?9.64,?437.09,"?75,009.00","?3,852.89"
40,2/4/2021,instagram_tier2,social,983498,3008227,"?40,119.20",20392,408,12,"?23,772.00",-0.407%,0.0068%,0.02001%,0.0294%,"?1,981.00",?1.97,?98.33,"-?16,347.20","?3,343.27"
41,2/4/2021,facebook_retargeting,social,4387490,43160,?885.75,1194,4,1,"?5,287.00",4.969%,0.0277%,0.00335%,0.2500%,"?5,287.00",?0.74,?221.44,"?4,401.25",?885.75
42,2/4/2021,facebook_lal,social,544756,432611,"?120,335.00",4807,71,13,"?6,864.00",-0.943%,0.0111%,0.01477%,0.1831%,?528.00,?25.03,"?1,694.86","-?113,471.00","?9,256.54"
43,2/4/2021,instagram_blogger,influencer,374754,1199300,"?149,279.00",11993,267,38,"?224,542.00",0.504%,0.0100%,0.02226%,0.1423%,"?5,909.00",?12.45,?559.10,"?75,263.00","?3,928.39"
44,2/4/2021,banner_partner,media,39889,41924802,"?177,746.00",16806,336,60,"?204,540.00",0.151%,0.0004%,0.01999%,0.1786%,"?3,409.00",?10.58,?529.01,"?26,794.00","?2,962.43"
45,2/5/2021,facebook_tier1,social,349043,3462883,"?90,691.70",11997,143,17,"?84,677.00",-0.066%,0.0035%,0.01192%,0.1189%,"?4,981.00",?7.56,?634.21,"-?6,014.70","?5,334.81"
46,2/5/2021,facebOOK_tier2,social,348934,3299600,"?261,047.00",16498,330,42,"?209,202.00",-0.199%,0.0050%,0.02000%,0.1273%,"?4,981.00",?15.82,?791.05,"-?51,845.00","?6,215.40"
47,2/5/2021,google_hot,search,89459845,236719,"?96,930.60",4504,151,23,"?177,882.00",0.835%,0.0190%,0.03353%,0.1523%,"?7,734.00",?21.52,?641.92,"?80,951.40","?4,214.37"
48,2/5/2021,google_wide,search,127823,9914040,"?56,875.20",11993,139,14,"?49,644.00",-0.127%,0.0012%,0.01159%,0.1007%,"?3,546.00",?4.74,?409.17,"-?7,231.20","?4,062.51"
49,2/5/2021,youtube_blogger,influencer,10934,1965108,"?442,617.00",22507,731,146,"?1,165,230.00",1.633%,0.0115%,0.03248%,0.1997%,"?7,981.03",?19.67,?605.50,"?722,613.00","?3,031.62"
50,2/5/2021,instagram_tier1,social,9034945,7485780,"?258,306.00",13498,526,76,"?454,556.00",0.760%,0.0018%,0.03897%,0.1445%,"?5,981.00",?19.14,?491.08,"?196,250.00","?3,398.76"
51,2/5/2021,instagram_tier2,social,983498,5100600,"?13,588.80",25503,765,4,"?7,924.00",-0.417%,0.0050%,0.03000%,0.0052%,"?1,981.00",?0.53,?17.76,"-?5,664.80","?3,397.20"
52,2/5/2021,facebook_retargeting,social,4387490,48954,"?6,790.74",1505,30,5,"?27,060.00",2.985%,0.0307%,0.01993%,0.1667%,"?5,412.00",?4.51,?226.36,"?20,269.26","?1,358.15"
53,2/5/2021,facebook_lal,social,544756,600400,"?192,789.00",6004,120,21,"?9,492.00",-0.951%,0.0100%,0.01999%,0.1750%,?452.00,?32.11,"?1,606.58","-?183,297.00","?9,180.43"
54,2/5/2021,instagram_blogger,influencer,374754,2153303,"?36,431.70",15003,51,8,"?47,816.00",0.312%,0.0070%,0.00340%,0.1569%,"?5,977.00",?2.43,?714.35,"?11,384.30","?4,553.96"
55,2/5/2021,banner_partner,media,39889,8238872,"?427,922.00",20997,796,119,"?471,240.00",0.101%,0.0025%,0.03791%,0.1495%,"?3,960.00",?20.38,?537.59,"?43,318.00","?3,595.98"
56,2/6/2021,facebook_tier1,social,349043,310024,"?40,407.90",2391,76,9,"?46,152.00",0.142%,0.0077%,0.03179%,0.1184%,"?5,128.00",?16.90,?531.68,"?5,744.10","?4,489.77"
57,2/6/2021,facebOOK_tier2,social,348934,448321,"?62,272.60",3302,108,9,"?44,829.00",-0.280%,0.0074%,0.03271%,0.0833%,"?4,981.00",?18.86,?576.60,"-?17,443.60","?6,919.18"
58,2/6/2021,google_hot,search,89459845,44950,"?6,768.87",899,13,1,"?8,136.00",0.202%,0.0200%,0.01446%,0.0769%,"?8,136.00",?7.53,?520.68,"?1,367.13","?6,768.87"
59,2/6/2021,google_wide,search,127823,478400,"?22,542.00",2392,48,6,"?13,152.00",-0.417%,0.0050%,0.02007%,0.1250%,"?2,192.00",?9.42,?469.63,"-?9,390.00","?3,757.00"
60,2/6/2021,youtube_blogger,influencer,10934,472252,"?80,971.40",4508,133,27,"?215,487.00",1.661%,0.0095%,0.02950%,0.2030%,"?7,981.00",?17.96,?608.81,"?134,515.60","?2,998.94"
61,2/6/2021,instagram_tier1,social,9034945,425467,"?3,661.53",2695,14,1,"?5,958.00",0.627%,0.0063%,0.00519%,0.0714%,"?5,958.00",?1.36,?261.54,"?2,296.47","?3,661.53"
62,2/6/2021,instagram_tier2,social,983498,1589341,"?12,183.40",5092,102,5,"?12,295.00",0.009%,0.0032%,0.02003%,0.0490%,"?2,459.00",?2.39,?119.45,?111.60,"?2,436.68"
63,2/6/2021,facebook_retargeting,social,4387490,10200,"?1,420.15",306,6,1,"?5,492.00",2.867%,0.0300%,0.01961%,0.1667%,"?5,492.00",?4.64,?236.69,"?4,071.85","?1,420.15"
64,2/6/2021,facebook_lal,social,544756,119700,"?29,281.00",1197,24,4,"?6,428.00",-0.780%,0.0100%,0.02005%,0.1667%,"?1,607.00",?24.46,"?1,220.04","-?22,853.00","?7,320.25"
65,2/6/2021,instagram_blogger,influencer,374754,300700,"?8,289.21",3007,20,2,"?9,450.00",0.140%,0.0100%,0.00665%,0.1000%,"?4,725.00",?2.76,?414.46,"?1,160.79","?4,144.61"
66,2/6/2021,banner_partner,media,39889,42070000,"?38,185.20",4207,84,10,"?48,820.00",0.279%,0.0001%,0.01997%,0.1190%,"?4,882.00",?9.08,?454.59,"?10,634.80","?3,818.52"
67,2/7/2021,facebook_tier1,social,349043,478000,"?27,314.40",2390,45,5,"?24,905.00",-0.088%,0.0050%,0.01883%,0.1111%,"?4,981.00",?11.43,?606.99,"-?2,409.40","?5,462.88"
68,2/7/2021,facebOOK_tier2,social,348934,659000,"?38,485.60",3295,66,5,"?23,735.00",-0.383%,0.0050%,0.02003%,0.0758%,"?4,747.00",?11.68,?583.12,"-?14,750.60","?7,697.12"
69,2/7/2021,google_hot,search,89459845,44650,"?6,426.00",893,18,2,"?14,152.00",1.202%,0.0200%,0.02016%,0.1111%,"?7,076.00",?7.20,?357.00,"?7,726.00","?3,213.00"
70,2/7/2021,google_wide,search,127823,1137473,"?18,102.10",2404,48,5,"?17,845.00",-0.014%,0.0021%,0.01997%,0.1042%,"?3,569.00",?7.53,?377.13,-?257.10,"?3,620.42"
71,2/7/2021,youtube_blogger,influencer,10934,694624,"?31,680.10",4505,82,15,"?119,715.00",2.779%,0.0065%,0.01820%,0.1829%,"?7,981.00",?7.03,?386.34,"?88,034.90","?2,112.01"
72,2/7/2021,instagram_tier1,social,9034945,1246126,"?37,965.90",2696,100,11,"?65,791.00",0.733%,0.0022%,0.03709%,0.1100%,"?5,981.00",?14.08,?379.66,"?27,825.10","?3,451.45"
73,2/7/2021,instagram_tier2,social,983498,567096,"?6,747.94",5103,199,2,"?3,962.00",-0.413%,0.0090%,0.03900%,0.0101%,"?1,981.00",?1.32,?33.91,"-?2,785.94","?3,373.97"
74,2/7/2021,facebook_retargeting,social,4387490,9938,"?3,435.44",294,6,1,"?4,981.00",0.450%,0.0296%,0.02041%,0.1667%,"?4,981.00",?11.69,?572.57,"?1,545.56","?3,435.44"
75,2/7/2021,facebook_lal,social,544756,174221,"?10,104.90",1197,6,1,?981.00,-0.903%,0.0069%,0.00501%,0.1667%,?981.00,?8.44,"?1,684.15","-?9,123.90","?10,104.90"
76,2/7/2021,instagram_blogger,influencer,374754,300700,"?46,167.60",3007,93,12,"?68,076.00",0.475%,0.0100%,0.03093%,0.1290%,"?5,673.00",?15.35,?496.43,"?21,908.40","?3,847.30"
77,2/7/2021,banner_partner,media,39889,3957603,"?79,987.70",4203,142,27,"?90,504.00",0.131%,0.0011%,0.03379%,0.1901%,"?3,352.00",?19.03,?563.29,"?10,516.30","?2,962.51"
78,2/8/2021,facebook_tier1,social,349043,479000,"?27,210.40",2395,36,5,"?22,345.00",-0.179%,0.0050%,0.01503%,0.1389%,"?4,469.00",?11.36,?755.84,"-?4,865.40","?5,442.08"
79,2/8/2021,facebOOK_tier2,social,348934,472656,"?33,752.80",3290,66,5,"?28,670.00",-0.151%,0.0070%,0.02006%,0.0758%,"?5,734.00",?10.26,?511.41,"-?5,082.80","?6,750.56"
80,2/8/2021,google_hot,search,89459845,51350,"?6,918.85",904,20,2,"?16,240.00",1.347%,0.0176%,0.02212%,0.1000%,"?8,120.00",?7.65,?345.94,"?9,321.15","?3,459.43"
81,2/8/2021,google_wide,search,127823,478000,"?16,567.50",2390,48,5,"?16,995.00",0.026%,0.0050%,0.02008%,0.1042%,"?3,399.00",?6.93,?345.16,?427.50,"?3,313.50"
82,2/8/2021,youtube_blogger,influencer,10934,685530,"?33,892.60",4491,79,16,"?120,176.00",2.546%,0.0066%,0.01759%,0.2025%,"?7,511.00",?7.55,?429.02,"?86,283.40","?2,118.29"
83,2/8/2021,instagram_tier1,social,9034945,472836,?330.76,2690,1,0,?0.00,-1.000%,0.0057%,0.00037%,0.0000%,?0.00,?0.12,?330.76,-?330.76,?0.00
84,2/8/2021,instagram_tier2,social,983498,1020000,"?2,057.30",5100,102,1,"?1,981.00",-0.037%,0.0050%,0.02000%,0.0098%,"?1,981.00",?0.40,?20.17,-?76.30,"?2,057.30"
85,2/8/2021,facebook_retargeting,social,4387490,10067,"?4,336.04",302,10,2,"?10,036.00",1.315%,0.0300%,0.03311%,0.2000%,"?5,018.00",?14.36,?433.60,"?5,699.96","?2,168.02"
86,2/8/2021,facebook_lal,social,544756,120200,"?40,099.00",1202,24,5,"?4,905.00",-0.878%,0.0100%,0.01997%,0.2083%,?981.00,?33.36,"?1,670.79","-?35,194.00","?8,019.80"
87,2/8/2021,instagram_blogger,influencer,374754,361650,"?31,154.30",2991,60,9,"?45,027.00",0.445%,0.0083%,0.02006%,0.1500%,"?5,003.00",?10.42,?519.24,"?13,872.70","?3,461.59"
88,2/8/2021,banner_partner,media,39889,2233790,"?31,883.90",4197,84,10,"?42,280.00",0.326%,0.0019%,0.02001%,0.1190%,"?4,228.00",?7.60,?379.57,"?10,396.10","?3,188.39"
89,2/9/2021,facebook_tier1,social,349043,478600,"?49,036.50",2393,68,9,"?42,813.00",-0.127%,0.0050%,0.02842%,0.1324%,"?4,757.00",?20.49,?721.13,"-?6,223.50","?5,448.50"
90,2/9/2021,facebOOK_tier2,social,348934,555116,"?62,119.40",3303,96,11,"?54,791.00",-0.118%,0.0060%,0.02906%,0.1146%,"?4,981.00",?18.81,?647.08,"-?7,328.40","?5,647.22"
91,2/9/2021,google_hot,search,89459845,44900,"?3,095.21",898,5,1,"?7,998.00",1.584%,0.0200%,0.00557%,0.2000%,"?7,998.00",?3.45,?619.04,"?4,902.79","?3,095.21"
92,2/9/2021,google_wide,search,127823,478600,"?20,299.30",2393,48,5,"?14,905.00",-0.266%,0.0050%,0.02006%,0.1042%,"?2,981.00",?8.48,?422.90,"-?5,394.30","?4,059.86"
93,2/9/2021,youtube_blogger,influencer,10934,491821,"?27,833.00",4495,90,18,"?143,658.00",4.161%,0.0091%,0.02002%,0.2000%,"?7,981.00",?6.19,?309.26,"?115,825.00","?1,546.28"
94,2/9/2021,instagram_tier1,social,9034945,759532,"?10,317.00",2701,19,3,"?19,800.00",0.919%,0.0036%,0.00703%,0.1579%,"?6,600.00",?3.82,?543.00,"?9,483.00","?3,439.00"
95,2/9/2021,instagram_tier2,social,983498,1022000,"?7,398.26",5110,102,3,"?5,943.00",-0.197%,0.0050%,0.01996%,0.0294%,"?1,981.00",?1.45,?72.53,"-?1,455.26","?2,466.09"
96,2/9/2021,facebook_retargeting,social,4387490,9721,"?2,152.37",290,6,1,"?4,353.00",1.022%,0.0298%,0.02069%,0.1667%,"?4,353.00",?7.42,?358.73,"?2,200.63","?2,152.37"
97,2/9/2021,facebook_lal,social,544756,189854,"?29,091.40",1198,24,3,"?2,943.00",-0.899%,0.0063%,0.02003%,0.1250%,?981.00,?24.28,"?1,212.14","-?26,148.40","?9,697.13"
98,2/9/2021,instagram_blogger,influencer,374754,346068,"?57,642.40",3006,99,15,"?89,460.00",0.552%,0.0087%,0.03293%,0.1515%,"?5,964.00",?19.18,?582.25,"?31,817.60","?3,842.83"
99,2/9/2021,banner_partner,media,39889,3736884,"?44,731.70",4190,84,13,"?51,259.00",0.146%,0.0011%,0.02005%,0.1548%,"?3,943.00",?10.68,?532.52,"?6,527.30","?3,440.90"
100,2/10/2021,facebook_tier1,social,349043,961800,"?43,386.40",4809,96,8,"?42,400.00",-0.023%,0.0050%,0.01996%,0.0833%,"?5,300.00",?9.02,?451.94,-?986.40,"?5,423.30"
101,2/10/2021,facebOOK_tier2,social,348934,852250,"?43,865.90",6596,132,7,"?34,867.00",-0.205%,0.0077%,0.02001%,0.0530%,"?4,981.00",?6.65,?332.32,"-?8,998.90","?6,266.56"
102,2/10/2021,google_hot,search,89459845,108748,"?51,883.10",1797,57,11,"?86,724.00",0.672%,0.0165%,0.03172%,0.1930%,"?7,884.00",?28.87,?910.23,"?34,840.90","?4,716.65"
103,2/10/2021,google_wide,search,127823,797238,"?67,577.80",4797,154,19,"?42,598.00",-0.370%,0.0060%,0.03210%,0.1234%,"?2,242.00",?14.09,?438.82,"-?24,979.80","?3,556.73"
104,2/10/2021,youtube_blogger,influencer,10934,1469962,"?19,831.40",8998,80,16,"?130,768.00",5.594%,0.0061%,0.00889%,0.2000%,"?8,173.00",?2.20,?247.89,"?110,936.60","?1,239.46"
105,2/10/2021,instagram_tier1,social,9034945,3858193,"?38,890.30",5406,186,14,"?83,734.00",1.153%,0.0014%,0.03441%,0.0753%,"?5,981.00",?7.19,?209.09,"?44,843.70","?2,777.88"
106,2/10/2021,instagram_tier2,social,983498,2040000,"?14,147.90",10200,395,4,"?7,924.00",-0.440%,0.0050%,0.03873%,0.0101%,"?1,981.00",?1.39,?35.82,"-?6,223.90","?3,536.98"
107,2/10/2021,facebook_retargeting,social,4387490,18399,"?12,713.00",599,22,5,"?27,065.00",1.129%,0.0326%,0.03673%,0.2273%,"?5,413.00",?21.22,?577.86,"?14,352.00","?2,542.60"
108,2/10/2021,facebook_lal,social,544756,321713,"?131,236.00",2396,88,15,"?14,715.00",-0.888%,0.0074%,0.03673%,0.1705%,?981.00,?54.77,"?1,491.32","-?116,521.00","?8,749.07"
109,2/10/2021,instagram_blogger,influencer,374754,489728,"?126,901.00",6005,187,34,"?143,888.00",0.134%,0.0123%,0.03114%,0.1818%,"?4,232.00",?21.13,?678.61,"?16,987.00","?3,732.38"
110,2/10/2021,banner_partner,media,39889,5219501,"?179,519.00",8391,302,60,"?196,680.00",0.096%,0.0016%,0.03599%,0.1987%,"?3,278.00",?21.39,?594.43,"?17,161.00","?2,991.98"
111,2/11/2021,facebook_tier1,social,349043,1061233,"?105,681.00",7206,144,23,"?105,225.00",-0.004%,0.0068%,0.01998%,0.1597%,"?4,575.00",?14.67,?733.90,-?456.00,"?4,594.83"
112,2/11/2021,facebOOK_tier2,social,348934,4564542,"?188,516.00",9895,304,28,"?131,068.00",-0.305%,0.0022%,0.03072%,0.0921%,"?4,681.00",?19.05,?620.12,"-?57,448.00","?6,732.71"
113,2/11/2021,google_hot,search,89459845,134600,"?26,220.40",2692,54,6,"?48,990.00",0.868%,0.0200%,0.02006%,0.1111%,"?8,165.00",?9.74,?485.56,"?22,769.60","?4,370.07"
114,2/11/2021,google_wide,search,127823,1254537,"?51,422.50",7198,144,14,"?41,986.00",-0.184%,0.0057%,0.02001%,0.0972%,"?2,999.00",?7.14,?357.10,"-?9,436.50","?3,673.04"
115,2/11/2021,youtube_blogger,influencer,10934,1210466,"?197,161.00",13506,474,95,"?831,820.00",3.219%,0.0112%,0.03510%,0.2004%,"?8,756.00",?14.60,?415.95,"?634,659.00","?2,075.38"
116,2/11/2021,instagram_tier1,social,9034945,2224531,?348.99,8106,1,0,?0.00,-1.000%,0.0036%,0.00012%,0.0000%,?0.00,?0.04,?348.99,-?348.99,?0.00
117,2/11/2021,instagram_tier2,social,983498,3058200,"?4,138.73",15291,114,1,"?2,771.00",-0.330%,0.0050%,0.00746%,0.0088%,"?2,771.00",?0.27,?36.30,"-?1,367.73","?4,138.73"
118,2/11/2021,facebook_retargeting,social,4387490,26774,"?17,711.10",893,27,6,"?29,886.00",0.687%,0.0334%,0.03024%,0.2222%,"?4,981.00",?19.83,?655.97,"?12,174.90","?2,951.85"
119,2/11/2021,facebook_lal,social,544756,359500,"?6,171.15",3595,5,1,?677.00,-0.890%,0.0100%,0.00139%,0.2000%,?677.00,?1.72,"?1,234.23","-?5,494.15","?6,171.15"
120,2/11/2021,instagram_blogger,influencer,374754,900400,"?128,751.00",9004,227,29,"?143,869.00",0.117%,0.0100%,0.02521%,0.1278%,"?4,961.00",?14.30,?567.19,"?15,118.00","?4,439.69"
121,2/11/2021,banner_partner,media,39889,5125187,"?193,124.00",12602,482,57,"?226,917.00",0.175%,0.0025%,0.03825%,0.1183%,"?3,981.00",?15.32,?400.67,"?33,793.00","?3,388.14"
122,2/12/2021,facebook_tier1,social,349043,1804868,"?110,004.00",9607,192,23,"?96,163.00",-0.126%,0.0053%,0.01999%,0.1198%,"?4,181.00",?11.45,?572.94,"-?13,841.00","?4,782.78"
123,2/12/2021,facebOOK_tier2,social,348934,2639200,"?191,722.00",13196,325,32,"?176,512.00",-0.079%,0.0050%,0.02463%,0.0985%,"?5,516.00",?14.53,?589.91,"-?15,210.00","?5,991.31"
124,2/12/2021,google_hot,search,89459845,161493,"?59,745.30",3602,72,14,"?122,710.00",1.054%,0.0223%,0.01999%,0.1944%,"?8,765.00",?16.59,?829.80,"?62,964.70","?4,267.52"
125,2/12/2021,google_wide,search,127823,1502383,"?86,733.10",9605,192,19,"?56,639.00",-0.347%,0.0064%,0.01999%,0.0990%,"?2,981.00",?9.03,?451.73,"-?30,094.10","?4,564.90"
126,2/12/2021,youtube_blogger,influencer,10934,1299708,"?121,652.00",17994,378,61,"?486,841.00",3.002%,0.0138%,0.02101%,0.1614%,"?7,981.00",?6.76,?321.83,"?365,189.00","?1,994.30"
127,2/12/2021,instagram_tier1,social,9034945,3735390,"?26,659.90",10806,115,9,"?53,523.00",1.008%,0.0029%,0.01064%,0.0783%,"?5,947.00",?2.47,?231.83,"?26,863.10","?2,962.21"
128,2/12/2021,instagram_tier2,social,983498,7156880,"?49,060.30",20391,408,15,"?29,715.00",-0.394%,0.0028%,0.02001%,0.0368%,"?1,981.00",?2.41,?120.25,"-?19,345.30","?3,270.69"
129,2/12/2021,facebook_retargeting,social,4387490,42587,"?11,278.30",1207,34,8,"?39,848.00",2.533%,0.0283%,0.02817%,0.2353%,"?4,981.00",?9.34,?331.71,"?28,569.70","?1,409.79"
130,2/12/2021,facebook_lal,social,544756,480000,"?44,580.90",4800,33,5,"?6,945.00",-0.844%,0.0100%,0.00688%,0.1515%,"?1,389.00",?9.29,"?1,350.94","-?37,635.90","?8,916.18"
